;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 09:34:51.
#<OUTPUT BUFFERED FILE-STREAM CHARACTER #P"gen20151130-093451.log">
[5]> (algoritmo-genetico 20 100 10 
#'custo-oportunidade #'custo-buracos #'heuristica-pontuacao-1)
  --> Individuo: 49 | Resultado: 430 | Parametros: 0.40 0.63 0.67
  --> Individuo: 50 | Resultado: 425 | Parametros: 0.73 0.08 0.68
  --> Individuo: 51 | Resultado: 415 | Parametros: 0.46 0.89 0.00
  --> Individuo: 52 | Resultado: 425 | Parametros: 0.41 0.72 0.56
  --> Individuo: 53 | Resultado: 370 | Parametros: 0.19 0.27 0.94
  --> Individuo: 54 | Resultado: 390 | Parametros: 0.27 0.61 0.75
  --> Individuo: 55 | Resultado: 425 | Parametros: 0.61 0.56 0.56
  --> Individuo: 56 | Resultado: 425 | Parametros: 0.61 0.56 0.56
  --> Individuo: 57 | Resultado: 425 | Parametros: 0.55 0.62 0.56
  --> Individuo: 58 | Resultado: 425 | Parametros: 0.60 0.52 0.61
  --> Individuo: 59 | Resultado: 420 | Parametros: 0.72 0.35 0.60
  --> Individuo: 60 | Resultado: 420 | Parametros: 0.76 0.22 0.61
  --> Individuo: 61 | Resultado: 425 | Parametros: 0.66 0.46 0.60
  --> Individuo: 62 | Resultado: 415 | Parametros: 0.65 0.76 0.03
  --> Individuo: 63 | Resultado: 425 | Parametros: 0.39 0.81 0.43
  --> Individuo: 64 | Resultado: 425 | Parametros: 0.54 0.59 0.61
  --> Individuo: 65 | Resultado: 425 | Parametros: 0.55 0.29 0.78
  --> Individuo: 66 | Resultado: 425 | Parametros: 0.53 0.36 0.77
  --> Individuo: 67 | Resultado: 425 | Parametros: 0.61 0.18 0.77
  --> Individuo: 68 | Resultado: 425 | Parametros: 0.56 0.55 0.63
  --> Individuo: 69 | Resultado: 405 | Parametros: 0.34 0.59 0.73
  --> Individuo: 70 | Resultado: 335 | Parametros: 0.06 0.56 0.82
  --> Individuo: 71 | Resultado: 425 | Parametros: 0.38 0.85 0.37
  --> Individuo: 72 | Resultado: 420 | Parametros: 0.54 0.72 0.45
  --> Individuo: 73 | Resultado: 425 | Parametros: 0.43 0.69 0.58
  --> Individuo: 74 | Resultado: 425 | Parametros: 0.47 0.61 0.63
  --> Individuo: 75 | Resultado: 410 | Parametros: 0.36 0.58 0.73
  --> Individuo: 76 | Resultado: 425 | Parametros: 0.47 0.61 0.64
  --> Individuo: 77 | Resultado: 425 | Parametros: 0.69 0.24 0.68
  --> Individuo: 78 | Resultado: 425 | Parametros: 0.49 0.54 0.68
  --> Individuo: 79 | Resultado: 425 | Parametros: 0.66 0.07 0.75
  --> Individuo: 80 | Resultado: 420 | Parametros: 0.67 0.72 0.17
  --> Individuo: 81 | Resultado: 425 | Parametros: 0.55 0.50 0.67
  --> Individuo: 82 | Resultado: 330 | Parametros: 0.05 0.37 0.93
  --> Individuo: 83 | Resultado: 410 | Parametros: 0.43 0.32 0.85
  --> Individuo: 84 | Resultado: 420 | Parametros: 0.49 0.40 0.77
  --> Individuo: 85 | Resultado: 425 | Parametros: 0.50 0.44 0.75
  --> Individuo: 86 | Resultado: 420 | Parametros: 0.54 0.02 0.84
  --> Individuo: 87 | Resultado: 420 | Parametros: 0.63 0.57 0.53
  --> Individuo: 88 | Resultado: 425 | Parametros: 0.56 0.64 0.52
  --> Individuo: 89 | Resultado: 425 | Parametros: 0.61 0.46 0.64
  --> Individuo: 90 | Resultado: 425 | Parametros: 0.70 0.33 0.64
  --> Individuo: 91 | Resultado: 425 | Parametros: 0.60 0.62 0.51
  --> Individuo: 92 | Resultado: 415 | Parametros: 0.58 0.76 0.29
  --> Individuo: 93 | Resultado: 390 | Parametros: 0.38 0.08 0.92
  --> Individuo: 94 | Resultado: 420 | Parametros: 0.61 0.60 0.51
  --> Individuo: 95 | Resultado: 390 | Parametros: 0.32 0.21 0.92
  --> Individuo: 96 | Resultado: 415 | Parametros: 0.48 0.51 0.72
  --> Individuo: 97 | Resultado: 405 | Parametros: 0.22 0.85 0.47
  --> Individuo: 98 | Resultado: 425 | Parametros: 0.64 0.67 0.38
  --> Individuo: 99 | Resultado: 435 | Parametros: 0.95 0.05 0.31
  --> Individuo: 100 | Resultado: 425 | Parametros: 0.75 0.06 0.66

=============== Fim da Geracao 03 | Media: 416.5500 | Best: 435.0000 | Parametros: 0.49 0.85 0.18 ==============

  --> Individuo: 01 | Resultado: 440 | Parametros: 0.66 0.25 0.71
  --> Individuo: 02 | Resultado: 445 | Parametros: 0.66 0.52 0.54
  --> Individuo: 03 | Resultado: 440 | Parametros: 0.48 0.39 0.78
  --> Individuo: 04 | Resultado: 435 | Parametros: 0.27 0.61 0.74
  --> Individuo: 05 | Resultado: 440 | Parametros: 0.37 0.78 0.50
  --> Individuo: 06 | Resultado: 445 | Parametros: 0.58 0.62 0.53
  --> Individuo: 07 | Resultado: 445 | Parametros: 0.69 0.53 0.49
  --> Individuo: 08 | Resultado: 350 | Parametros: 0.05 0.85 0.52
  --> Individuo: 09 | Resultado: 445 | Parametros: 0.47 0.81 0.35
  --> Individuo: 10 | Resultado: 420 | Parametros: 0.40 0.57 0.72
  --> Individuo: 11 | Resultado: 440 | Parametros: 0.58 0.48 0.66
  --> Individuo: 12 | Resultado: 440 | Parametros: 0.39 0.67 0.63
  --> Individuo: 13 | Resultado: 355 | Parametros: 0.08 0.73 0.68
  --> Individuo: 14 | Resultado: 445 | Parametros: 0.47 0.54 0.70
  --> Individuo: 15 | Resultado: 350 | Parametros: 0.05 0.83 0.55
  --> Individuo: 16 | Resultado: 450 | Parametros: 0.52 0.69 0.51
  --> Individuo: 17 | Resultado: 445 | Parametros: 0.69 0.52 0.51
  --> Individuo: 18 | Resultado: 445 | Parametros: 0.75 0.04 0.67
  --> Individuo: 19 | Resultado: 445 | Parametros: 0.62 0.54 0.56
  --> Individuo: 20 | Resultado: 440 | Parametros: 0.42 0.72 0.56
  --> Individuo: 21 | Resultado: 425 | Parametros: 0.33 0.75 0.58
  --> Individuo: 22 | Resultado: 445 | Parametros: 0.30 0.84 0.44
  --> Individuo: 23 | Resultado: 445 | Parametros: 0.67 0.52 0.53
  --> Individuo: 24 | Resultado: 445 | Parametros: 0.63 0.57 0.53
  --> Individuo: 25 | Resultado: 440 | Parametros: 0.49 0.53 0.69
  --> Individuo: 26 | Resultado: 445 | Parametros: 0.59 0.62 0.52
  --> Individuo: 27 | Resultado: 440 | Parametros: 0.45 0.65 0.61
  --> Individuo: 28 | Resultado: 435 | Parametros: 0.28 0.60 0.75
  --> Individuo: 29 | Resultado: 445 | Parametros: 0.73 0.21 0.65
  --> Individuo: 30 | Resultado: 440 | Parametros: 0.57 0.47 0.68
  --> Individuo: 31 | Resultado: 445 | Parametros: 0.63 0.58 0.51
  --> Individuo: 32 | Resultado: 440 | Parametros: 0.35 0.77 0.54
  --> Individuo: 33 | Resultado: 440 | Parametros: 0.49 0.53 0.69
  --> Individuo: 34 | Resultado: 435 | Parametros: 0.27 0.66 0.70
  --> Individuo: 35 | Resultado: 445 | Parametros: 0.65 0.65 0.41
  --> Individuo: 36 | Resultado: 440 | Parametros: 0.61 0.40 0.69
  --> Individuo: 37 | Resultado: 440 | Parametros: 0.50 0.39 0.77
  --> Individuo: 38 | Resultado: 425 | Parametros: 0.38 0.54 0.75
  --> Individuo: 39 | Resultado: 345 | Parametros: 0.06 0.52 0.85
  --> Individuo: 40 | Resultado: 425 | Parametros: 0.43 0.49 0.76
