;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 09:38:02.
#<OUTPUT BUFFERED FILE-STREAM CHARACTER #P"gen20151130-093802.log">
[3]> (algoritmo-genetico 20 100 10 #'custo-oportunidade #'heuristica-pontuacao-1 #'custo-buracos #'heuristica-pontuacao-2 #'custo-altura-agregada)
  --> Individuo: 67 | Resultado: 395 | Parametros: 0.38 0.50 0.46 0.58 0.24
  --> Individuo: 68 | Resultado: 450 | Parametros: 0.57 0.01 0.55 0.61 0.01
  --> Individuo: 69 | Resultado: 435 | Parametros: 0.60 0.65 0.04 0.32 0.35
  --> Individuo: 70 | Resultado: 430 | Parametros: 0.57 0.06 0.54 0.03 0.62
  --> Individuo: 71 | Resultado: 215 | Parametros: -0.03 0.71 0.33 0.52 0.34
  --> Individuo: 72 | Resultado: 425 | Parametros: 0.33 0.28 0.67 0.43 0.43
  --> Individuo: 73 | Resultado: 395 | Parametros: 0.37 0.61 0.23 0.41 0.52
  --> Individuo: 74 | Resultado: 305 | Parametros: 0.06 0.52 0.64 0.55 0.10
  --> Individuo: 75 | Resultado: 430 | Parametros: 0.57 0.41 0.45 0.55 0.01
  --> Individuo: 76 | Resultado: 415 | Parametros: 0.43 0.56 0.49 0.48 0.20
  --> Individuo: 77 | Resultado: 435 | Parametros: 0.46 0.13 0.50 0.54 0.49
  --> Individuo: 78 | Resultado: 420 | Parametros: 0.60 0.28 0.15 0.73 0.07
  --> Individuo: 79 | Resultado: 385 | Parametros: 0.37 0.60 0.23 0.49 0.47
  --> Individuo: 80 | Resultado: 305 | Parametros: 0.02 0.57 0.46 0.62 0.26
  --> Individuo: 81 | Resultado: 340 | Parametros: 0.18 0.80 0.29 0.46 0.20
  --> Individuo: 82 | Resultado: 435 | Parametros: 0.50 0.36 0.38 0.37 0.58
  --> Individuo: 83 | Resultado: 415 | Parametros: 0.37 0.48 0.50 0.42 0.46
  --> Individuo: 84 | Resultado: 400 | Parametros: 0.26 0.09 0.26 0.55 0.75
  --> Individuo: 85 | Resultado: 435 | Parametros: 0.51 0.39 0.45 0.37 0.50
  --> Individuo: 86 | Resultado: 415 | Parametros: 0.40 0.53 0.31 0.38 0.57
  --> Individuo: 87 | Resultado: 435 | Parametros: 0.61 0.53 0.23 0.45 0.30
  --> Individuo: 88 | Resultado: 375 | Parametros: 0.27 0.75 0.54 0.25 0.10
  --> Individuo: 89 | Resultado: 340 | Parametros: 0.17 0.63 0.24 0.66 0.27
  --> Individuo: 90 | Resultado: 415 | Parametros: 0.35 0.75 0.50 0.12 0.22
