;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 08:46:21.
#<OUTPUT BUFFERED FILE-STREAM CHARACTER #P"gen20151130-084621.log">
[16]> (algoritmo-genetico 10 10 2 #'custo-oportunidade #'custo-buracos #'heuristica-pontuacao-1)
  --> Individuo: 01 | Resultado: 490 | Constantes: 0.69 0.03 0.73
  --> Individuo: 02 | Resultado: 490 | Constantes: 0.69 0.05 0.73
  --> Individuo: 03 | Resultado: 490 | Constantes: 0.68 0.03 0.73
  --> Individuo: 04 | Resultado: 490 | Constantes: 0.68 0.05 0.73
  --> Individuo: 05 | Resultado: 490 | Constantes: 0.68 0.08 0.72
  --> Individuo: 06 | Resultado: 490 | Constantes: 0.69 0.05 0.72
  --> Individuo: 07 | Resultado: 490 | Constantes: 0.68 0.03 0.73
  --> Individuo: 08 | Resultado: 500 | Constantes: 0.77 0.04 0.64
  --> Individuo: 09 | Resultado: 490 | Constantes: 0.69 0.03 0.73
  --> Individuo: 10 | Resultado: 490 | Constantes: 0.68 0.08 0.73

=============== Fim da Geracao 20 | Media: 491.0000 | Best: 500.0000 | Constantes: 0.77 0.04 0.64 ==============

  --> Individuo: 01 | Resultado: 390 | Constantes: 0.68 0.03 0.73
  --> Individuo: 02 | Resultado: 390 | Constantes: 0.68 0.03 0.73
  --> Individuo: 03 | Resultado: 390 | Constantes: 0.69 0.05 0.72
  --> Individuo: 04 | Resultado: 390 | Constantes: 0.69 0.05 0.72
  --> Individuo: 05 | Resultado: 390 | Constantes: 0.68 0.05 0.73
  --> Individuo: 06 | Resultado: 390 | Constantes: 0.68 0.05 0.73
  --> Individuo: 07 | Resultado: 390 | Constantes: 0.68 0.08 0.72
  --> Individuo: 08 | Resultado: 390 | Constantes: 0.68 0.08 0.72
  --> Individuo: 09 | Resultado: 390 | Constantes: 0.68 0.05 0.73
  --> Individuo: 10 | Resultado: 380 | Constantes: 0.55 0.03 0.83

=============== Fim da Geracao 21 | Media: 389.0000 | Best: 390.0000 | Constantes: 0.68 0.03 0.73 ==============

  --> Individuo: 01 | Resultado: 450 | Constantes: 0.68 0.03 0.73
  --> Individuo: 02 | Resultado: 450 | Constantes: 0.68 0.03 0.73
  --> Individuo: 03 | Resultado: 450 | Constantes: 0.69 0.05 0.72
  --> Individuo: 04 | Resultado: 450 | Constantes: 0.69 0.05 0.72
  --> Individuo: 05 | Resultado: 450 | Constantes: 0.68 0.08 0.73

** - Continuable Error
GC: User break
If you continue (by typing 'continue'): Continue execution
The following restarts are also available:
ABORT          :R1      Abort main loop
Break 1 [17]> :r1
[18]> (dribble)
;; Dribble of #<IO TERMINAL-STREAM> finished on 2015-11-30 10:39:07.
